Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,関東,秋葉原430,東京都,JP1YLA A,JP1YLA G,434.320000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,35.697750,139.772150,+9:00
1,関東,浜町430,東京都,JP1YIU A,JP1YIU G,434.400000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,35.686650,139.791117,+9:00
1,関東,浜町1200,東京都,JP1YIU B,JP1YIU G,1291.690000,DUP-,20.000000,DV,OFF,88.5Hz,NO,Exact,35.686650,139.791117,+9:00
1,関東,東京日本橋430,東京都,JR1VM  A,JR1VM  G,434.100000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,35.678733,139.778050,+9:00
1,関東,文京430,東京都,JP1YKZ A,JP1YKZ G,439.390000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Exact,35.724483,139.743350,+9:00
1,関東,江戸川430,東京都,JP1YJK A,JP1YJK G,439.070000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,35.713317,139.861217,+9:00
1,関東,江戸川1200,東京都,JP1YJK B,JP1YJK G,1291.650000,DUP-,20.000000,DV,OFF,88.5Hz,NO,Approximate,35.713317,139.861217,+9:00
1,関東,品川430,東京都,JP1YLK A,JP1YLK G,434.300000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,35.596050,139.735517,+9:00
1,関東,世田谷430,東京都,JP1YCD A,JP1YCD G,439.170000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,35.642417,139.632633,+9:00
1,関東,恵比寿1200,東京都,JR1VF  A,JR1VF  G,1291.470000,DUP-,20.000000,DV,OFF,88.5Hz,NO,Approximate,35.647250,139.718183,+9:00
1,関東,巣鴨430,東京都,JR1WN  A,JR1WN  G,439.130000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Approximate,35.731050,139.739733,+9:00
1,関東,東京電機大学430,東京都,JP1YDG A,JP1YDG G,434.260000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,35.748417,139.806267,+9:00
1,関東,東京電機大学1200,東京都,JP1YDG B,JP1YDG G,1291.270000,DUP-,20.000000,DV,OFF,88.5Hz,NO,Exact,35.748417,139.806267,+9:00
1,関東,立川430,東京都,JP1YKU A,JP1YKU G,434.160000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,35.718133,139.440600,+9:00
1,関東,東京御岳山430,東京都,JR1VD  A,JR1VD  G,434.360000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Approximate,35.783000,139.149800,+9:00
