NoraGateway音声アナウンスリスト


0	「ゼロ」
1	「ワン」
2	「ツー」
3	「スリー」
4	「フォー」
5	「ファイブ」
6	「シックス」
7	「セブン」
8	「エイト」
9	「ナイン」

A	「エィ」
B	「ビィー」
C	「シィー」
D	「ディー」
E	「イー」
F	「エフ」
G	「ジィー」
H	「エイチ」
I	「アイ」
J	「ジェー」
K	「ケー」
L	「エル」
M	「エム」
N	「エヌ」
O	「オー」
P	「ピィー」
Q	「キュー」
R	「アール」
S	「エス」
T	「ティー」
U	「ユー」
V	「ブイ」
W	「ダブリュ」
X	「エックス」
Y	「ワイ」
Z	「ゼット」
Alpha	「アルファ」
Bravo	「ブラボー」
Charlie	「チャーリー」
Delta	「デルタ」
Echo	「エコー」
Foxtrot	「フォクストロット」
Golf	「ゴルフ」
Hotel	「ホテル」
India	「インディア」
Juliet	「ジュリエィト」
Kilo	「キロ」
Lima	「リマー」
Mike	「マイク」
November	「ノーベン(ム)ヴァー」
Oscar	「オスカー」
Papa	「パパ」
Quebec	「ケベック」
Romeo	「ロメオ」
Sierra	「シエラ」
Tango	「タンゴ」
Uniform	「ユニフォーム」
Victor	「ヴィ(ビ)クター」
Whiskey	「ウィスキー」
Xray	「エックスレィ」
Yankee	「ヤンキィー」
Zulu	「ズルゥー」

_0	「～局、こんにちわ」
_1	「こちらは、～」
_2	「～より、自動応答にて送信中です」
_3	「それでは、良い一日を」

Connected	「～に、接続しました」
ConnectionError	「～との、通信エラーが発生しました」
InfoConnected	「～へ、接続されています」
InfoNotConnected	「接続はありません」
Disconnected	「～から、切断しました」
Wakeup	「起動しました」
